iter	Passed	Remaining
402	6574	1582
403	6587	1565
404	6600	1548
405	6613	1531
406	6626	1514
407	6638	1497
408	6651	1479
409	6663	1462
410	6675	1445
411	6690	1429
412	6702	1411
413	6714	1394
414	6726	1377
415	6738	1360
416	6751	1343
417	6764	1326
418	6776	1310
419	6789	1293
420	6802	1276
421	6815	1259
422	6828	1242
423	6842	1226
424	6855	1209
425	6868	1193
426	6881	1176
427	6898	1160
428	6912	1144
429	6926	1127
430	6938	1110
431	6950	1094
432	6961	1077
433	6973	1060
434	6985	1043
435	6998	1027
436	7013	1011
437	7025	994
438	7038	977
439	7052	961
440	7066	945
441	7080	929
442	7095	912
443	7109	896
444	7123	880
445	7137	864
446	7151	847
447	7166	831
448	7182	815
449	7195	799
450	7209	783
451	7223	767
452	7236	750
453	7251	734
454	7265	718
455	7279	702
456	7293	686
457	7308	670
