iter	Logloss	Accuracy	Recall
139	0.2579349393	0.9156772777	0.8334077235
140	0.2570843434	0.9160700577	0.8341218689
141	0.256335787	0.9162218136	0.8343361125
142	0.2560631471	0.9162843013	0.834461088
143	0.2556079532	0.9163735695	0.8346217707
144	0.2555019077	0.9164003499	0.8346396244
145	0.2552717533	0.9164271304	0.8346039171
146	0.2547232146	0.916641374	0.8349609898
147	0.2544799399	0.9166860081	0.8349966971
148	0.2541751541	0.916739569	0.8351038189
149	0.2541014965	0.916641374	0.8349252825
150	0.2538472043	0.9167127886	0.8350681116
151	0.2536337726	0.9167842031	0.8351930871
152	0.2532252545	0.9169270322	0.835443038
153	0.2531331614	0.9169181054	0.8354251843
154	0.2528899132	0.9169716663	0.8355501598
155	0.2528086015	0.9169627395	0.8354787452
156	0.2523886272	0.9169895199	0.8355323062
157	0.2518603098	0.9169984467	0.8355501598
158	0.251719246	0.9170520076	0.8356929889
159	0.2509486348	0.9173019585	0.8361214761
160	0.2506765314	0.9172930317	0.8360857689
161	0.2502900394	0.9173733731	0.8361928907
162	0.2500774905	0.9174180072	0.8362643052
163	0.2499996328	0.9173555195	0.836175037
164	0.249795859	0.9174358608	0.8363357198
165	0.2489022068	0.9177304458	0.8368891825
166	0.248255988	0.9178286408	0.8370677188
167	0.2481438843	0.9178822017	0.837156987
168	0.2480201936	0.917917909	0.8371926943
169	0.2479375637	0.9178554213	0.8371748407
170	0.2477016378	0.9179000553	0.8372105479
171	0.2467168371	0.918212494	0.8377818643
172	0.2462229946	0.9183999572	0.838138937
173	0.2461554938	0.9183999572	0.8381567906
174	0.2457784587	0.9184802985	0.8382639124
175	0.2452482466	0.9185606399	0.8383710343
176	0.2451033458	0.918507079	0.8382817661
177	0.2450406413	0.918507079	0.8382639124
178	0.2448040595	0.9186409812	0.8384781561
179	0.2446573854	0.9186320544	0.8384960097
180	0.2443838984	0.9186677617	0.8385138633
181	0.2442497413	0.918703469	0.8385674243
182	0.2441562815	0.9186588349	0.8385138633
183	0.2438988038	0.9186588349	0.8384960097
184	0.2438504291	0.9186856153	0.838531717
185	0.2437869717	0.9186945421	0.838531717
186	0.2431699194	0.9188373712	0.8387995215
187	0.242381521	0.9191141026	0.8393351306
188	0.2421264751	0.9191141026	0.8393529842
189	0.2419748742	0.9191944439	0.8394779597
